ID,FoodGroup,ShortDescrip,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,diabetes_nutrient_density
15002,Finfish and Shellfish Products,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL","Fish, anchovy, european, canned in oil, drained solids",0,0,0,210.0,28.89,9.71,0.0,0.0,0.0,12.0,0.203,0.88,0.0,3.33,13.0,19.903,0.363,0.078,232.0,0.339,4.63,69.0,0.1,252.0,68.1,2.44,0.0133333333333333,0.1194117647058823,0.3666666666666667,0.0,0.222,0.0325,1.2439375,0.2792307692307692,0.065,0.1933333333333333,0.0003766666666666,0.1642857142857142,0.36,1.238181818181818,0.2218181818181818,123.06666666666666
11579,Vegetables and Vegetable Products,"VEGETABLES,MXD,CND,SOL&LIQUIDS","Vegetables, mixed, canned, solids and liquids",0,0,0,36.0,1.42,0.25,7.13,0.0,3.8,0.0,0.077,0.0,3.8,0.0,18.0,0.482,0.04,0.034,21.0,0.104,0.65,15.0,0.427,37.0,0.2,0.51,0.0,0.0452941176470588,0.0,0.0422222222222222,0.0,0.045,0.030125,0.0307692307692307,0.0283333333333333,0.0175,0.0001155555555555,0.0357142857142857,0.0528571428571428,0.0036363636363636,0.0463636363636363,123.05555555555554
14416,Beverages,"CARB BEV,LO CAL,COLA OR PEP,W/ ASPRT, CAF","Carbonated beverage, low calorie, cola or pepper-type, with aspartame, contains caffeine","soft drink, pop, soda",0,0,2.0,0.11,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.005,3.0,0.002,0.11,1.0,0.107,9.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176923076923076,0.0041666666666666,0.0025,2.222222222222222e-06,0.0023809523809523,0.0128571428571428,0.0,0.0009090909090909,123.0
15029,Finfish and Shellfish Products,"FLATFISH (FLOUNDER&SOLE SP),CKD,DRY HEAT","Fish, flatfish (flounder and sole species), cooked, dry heat",0,0,0,86.0,15.24,2.37,0.0,0.0,0.0,12.0,0.115,1.31,0.0,0.77,6.0,1.278,0.025,0.026,25.0,0.023,0.23,22.0,0.017,309.0,32.6,0.39,0.0133333333333333,0.0676470588235294,0.5458333333333334,0.0,0.0513333333333333,0.015,0.079875,0.0192307692307692,0.0216666666666666,0.0208333333333333,2.5555555555555557e-05,0.0523809523809523,0.4414285714285714,0.5927272727272728,0.0354545454545454,122.95348837209303
23089,Beef Products,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW","Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw","Beef, Chuck, Mock Tender Steak, URMIS #1116",0,0,123.0,21.3,4.17,0.0,0.0,0.0,2.0,0.416,3.13,0.0,0.2,3.0,3.603,0.217,0.08,11.0,0.088,2.44,25.0,0.012,225.0,24.3,8.0,0.0022222222222222,0.2447058823529411,1.3041666666666667,0.0,0.0133333333333333,0.0075,0.2251875,0.1669230769230769,0.0666666666666666,0.0091666666666666,9.777777777777777e-05,0.0595238095238095,0.3214285714285714,0.4418181818181818,0.7272727272727273,122.92682926829268
5649,Poultry Products,"OSTRICH,OUTSIDE STRIP,RAW","Ostrich, outside strip, raw",0,0,Struthio camelus,120.0,23.36,2.21,0.0,0.0,0.0,0.0,0.549,5.33,0.0,0.21,8.0,5.058,0.308,0.21,5.0,0.147,3.69,23.0,0.019,229.0,37.9,4.02,0.0,0.3229411764705883,2.2208333333333337,0.0,0.014,0.02,0.316125,0.2369230769230769,0.175,0.0041666666666666,0.0001633333333333,0.0547619047619047,0.3271428571428571,0.6890909090909091,0.3654545454545454,122.9
5062,Poultry Products,"CHICKEN,BROILER OR FRYERS,BRST,SKINLESS,BNLESS,MEAT ONLY,RAW","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",0,0,0,120.0,22.5,2.62,0.0,0.0,0.0,7.0,0.811,0.21,0.0,0.56,9.0,9.6,0.177,0.094,5.0,0.037,0.37,28.0,0.011,213.0,22.8,0.68,0.0077777777777777,0.4770588235294118,0.0875,0.0,0.0373333333333333,0.0225,0.6,0.1361538461538461,0.0783333333333333,0.0041666666666666,4.111111111111111e-05,0.0666666666666666,0.3042857142857142,0.4145454545454545,0.0618181818181818,122.80000000000003
9156,Fruits and Fruit Juices,"LEMON PEEL,RAW","Lemon peel, raw",0,0,0,47.0,1.5,0.3,16.0,4.17,10.6,3.0,0.172,0.0,129.0,0.25,13.0,0.4,0.08,0.06,134.0,0.092,0.8,15.0,0.0,12.0,0.7,0.25,0.0033333333333333,0.1011764705882352,0.0,1.4333333333333331,0.0166666666666666,0.0325,0.025,0.0615384615384615,0.05,0.1116666666666666,0.0001022222222222,0.0357142857142857,0.0171428571428571,0.0127272727272727,0.0227272727272727,122.76595744680851
15115,Finfish and Shellfish Products,"TROUT,RAINBOW,WILD,RAW","Fish, trout, rainbow, wild, raw",0,0,Salmo gairdneri Richardson,119.0,20.48,3.46,0.0,0.0,0.0,19.0,0.406,4.45,2.4,0.0,12.0,5.384,0.105,0.123,67.0,0.109,0.7,31.0,0.158,271.0,12.6,1.08,0.0211111111111111,0.2388235294117647,1.8541666666666667,0.0266666666666666,0.0,0.03,0.3365,0.0807692307692307,0.1025,0.0558333333333333,0.0001211111111111,0.0738095238095238,0.3871428571428571,0.2290909090909091,0.0981818181818181,122.75630252100842
5749,Poultry Products,"CHCKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCED,GRILLD","Chicken, broiler or fryers, breast, skinless, boneless, meat only, enhanced, cooked, grilled",0,0,0,148.0,29.5,3.39,0.0,0.0,0.0,10.0,0.984,0.2,0.0,0.33,0.0,11.067,0.227,0.079,6.0,0.034,0.43,31.0,0.011,249.0,42.4,0.82,0.0111111111111111,0.5788235294117647,0.0833333333333333,0.0,0.022,0.0,0.6916875,0.1746153846153846,0.0658333333333333,0.005,3.777777777777778e-05,0.0738095238095238,0.3557142857142857,0.7709090909090909,0.0745454545454545,122.72972972972973
5314,Poultry Products,"CHKN,BROLRS OR FRYERS,BRST,SKNLSS,BNLESS,MEAT OLY,ENHCED,RAW","Chicken, broilers or fryers, breast, skinless, boneless, meat only, enhanced, raw",0,0,0,108.0,20.32,3.0,0.0,0.0,0.0,11.0,0.761,0.19,0.0,0.19,8.0,7.583,0.127,0.068,5.0,0.029,0.34,25.0,0.011,198.0,26.4,0.63,0.0122222222222222,0.4476470588235294,0.0791666666666666,0.0,0.0126666666666666,0.02,0.4739375,0.0976923076923076,0.0566666666666666,0.0041666666666666,3.222222222222222e-05,0.0595238095238095,0.2828571428571428,0.48,0.0572727272727272,122.72222222222223
7243,Sausages and Luncheon Meats,"OSCAR MAYER,WIENERS (BEEF FRANKS,FAT FREE)","OSCAR MAYER, Wieners (beef franks, fat free)","hot dog, frankfurter, frank",0,0,78.0,13.2,0.5,5.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.16,1.95,19.0,0.0,129.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166666666666666,0.0001777777777777,0.0452380952380952,0.1842857142857142,0.0,0.2190909090909091,122.58974358974358
17090,"Lamb, Veal, and Game Products","VEAL,COMP OF RTL CUTS,LN,RAW","Veal, composite of trimmed retail cuts, separable lean only, raw",0,0,0,112.0,20.2,2.87,0.0,0.0,0.0,0.0,0.43,1.4,0.0,0.26,13.0,7.83,0.28,0.08,15.0,0.113,0.85,25.0,0.029,211.0,8.6,3.23,0.0,0.2529411764705882,0.5833333333333334,0.0,0.0173333333333333,0.0325,0.489375,0.2153846153846154,0.0666666666666666,0.0125,0.0001255555555555,0.0595238095238095,0.3014285714285714,0.1563636363636363,0.2936363636363636,122.55357142857142
20088,Cereal Grains and Pasta,"WILD RICE,RAW","Wild rice, raw",0,0,Zizania spp.,357.0,14.73,1.08,74.9,2.5,6.2,1.0,0.391,0.0,0.0,0.82,95.0,6.733,0.262,0.115,21.0,0.524,1.96,177.0,1.329,433.0,2.8,5.96,0.0011111111111111,0.23,0.0,0.0,0.0546666666666666,0.2375,0.4208125,0.2015384615384615,0.0958333333333333,0.0175,0.0005822222222222,0.4214285714285714,0.6185714285714285,0.0509090909090909,0.5418181818181819,122.47619047619047
17341,"Lamb, Veal, and Game Products","GAME MEAT,ELK,RND,LN,CKD,BRLD","Game meat, elk, round, separable lean only, cooked, broiled",0,0,Cervus elaphus,156.0,30.94,2.64,0.0,0.0,0.0,0.0,0.466,1.5,0.0,0.54,9.0,7.16,0.46,0.18,5.0,0.221,4.08,28.0,0.015,266.0,10.6,5.64,0.0,0.2741176470588236,0.625,0.0,0.036,0.0225,0.4475,0.3538461538461538,0.15,0.0041666666666666,0.0002455555555555,0.0666666666666666,0.38,0.1927272727272727,0.5127272727272727,122.46153846153844
11216,Vegetables and Vegetable Products,"GINGER ROOT,RAW","Ginger root, raw",0,0,Zingiber officinale,80.0,1.82,0.75,17.77,1.7,2.0,0.0,0.16,0.0,5.0,0.26,11.0,0.75,0.034,0.025,16.0,0.226,0.6,43.0,0.229,34.0,0.7,0.34,0.0,0.0941176470588235,0.0,0.0555555555555555,0.0173333333333333,0.0275,0.046875,0.0261538461538461,0.0208333333333333,0.0133333333333333,0.0002511111111111,0.1023809523809523,0.0485714285714285,0.0127272727272727,0.0309090909090909,122.45000000000002
